Course Name,Description,Curriculum
GenAI Applied to Quantitative Finance: For Control Implementation,"This course explores the application of Generative AI in quantitative finance, focusing on building sustainable trading algorithms through keyword extraction, sentiment analysis, and time-series forecasting. Learn to predict commodity prices, such as gold, by integrating data from financial news sources, leveraging sentiment analysis, and optimizing models for robust trading signals.","{'1': {'title': 'Gen AI Applied to Quantitative Finance', 'lessons': ['Introduction', 'Overview', 'Problem Definition: Commodity Price Prediction', 'Architecture', 'Hands-On']}}"
"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy","This course provides a concise guide to optimizing Large Language Models (LLMs) by navigating tradeoffs in speed, cost, scale, and accuracy. Learn practical techniques like LoRA, model quantization, and parameter-efficient fine-tuning to improve performance while reducing costs. You'll explore various deployment strategies and understand how to evaluate LLMs using industry-standard benchmarks, making this course ideal for anyone seeking efficient, scalable AI solutions.","{'1': {'title': 'Navigating LLM Tradeoffs', 'lessons': ['Introduction', 'Resources', 'Technique to Increase Accuracy', 'Training Speed and Cost Optimization', 'Inference Speed and Cost Optimization', 'Scale']}}"
Creating Problem-Solving Agents using GenAI for Action Composition,"This introductory course provides a concise overview of Agentic AI systems, covering their evolution, current state, and practical applications. You will explore key topics including the history of Agentic AI systems, the role of agents today, multi-agent systems, and practical solutions for implementing them. Perfect for those seeking a foundational understanding of intelligent Agentic AI systems in action.","{'1': {'title': 'Creating Problem-Solving Agents using GenAI for Action Composition', 'lessons': ['Introduction', 'Overview- Count the Number of Agents', 'A brief history of Agentic Systems', 'Agents Today', 'Multi-Agent Systems Today', 'Practical Solutions']}}"
Improving Real World RAG Systems: Key Challenges & Practical Solutions,"This course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions. Topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance using advanced prompting, retrieval strategies, and evaluation techniques. Through hands-on demos, you will gain insights into better chunking, embedding models, and agentic RAG systems for more robust, real-world applications.","{'1': {'title': 'Improving Real World RAG System', 'lessons': ['Introduction to RAG Systems', 'Resources', 'RAG System Challenges Practical Solutions', 'Hands-on: Solution for Missing Content in RAG', 'Other Key Challenges', 'Practical Solutions', 'Hands-on: Solution for Missed Top Ranked, Not in Context, Not Extracted _ Incorrect SpecificityHands-on- Solution for Missed', 'Wrong Format Problem  Solution', 'Hands-on: Solution for Wrong Format', 'Incomplete Problem Solution', 'HyDE', 'Other Practical Solutions from recent Research Papers']}}"
Framework to Choose the Right LLM for your Business,"This course will guide you through the process of selecting the most suitable Large Language Model (LLM) for various business needs. By examining factors such as accuracy, cost, scalability, and integration, you will understand how different LLMs perform in specific scenarios, from customer support to healthcare and strategy development. The course emphasizes practical decision-making with real-world case studies, helping businesses navigate the rapidly evolving LLM landscape effectively.","{'1': {'title': 'Introduction', 'lessons': ['Introduction']}, '2': {'title': ""It's an LLM World!"", 'lessons': [""It's an LLM World!""]}, '3': {'title': 'Understand Your Business', 'lessons': ['Understand Your Business']}, '4': {'title': 'Framework to Choose the Right LLM', 'lessons': ['Framework to Choose the Right LLM']}, '5': {'title': 'Case Studies', 'lessons': ['Case Studies']}, '6': {'title': 'Conclusion', 'lessons': ['Conclusion']}}"
Building Smarter LLMs with Mamba and State Space Model,"Unlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals, data scientists, and NLP enthusiasts. Master the art of integrating SSM with deep learning, unravel the complexities of models like Mamba, and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work, making you proficient in the latest AI techniques and architectures.","{'1': {'title': 'Course Overview', 'lessons': ['Course Overview']}, '2': {'title': 'An Alternative to Transformers', 'lessons': ['Are RNNs a Solution', 'The Problem with Transformers']}, '3': {'title': 'Understanding State Space Models', 'lessons': ['What is a State Space Model?', 'The Discrete Representation', 'The Recurrent Representation', 'The Convolution Representation', 'The Three Representations', 'The Importance of the A Matrix']}, '4': {'title': 'Mamba - A Selective State Space Model', 'lessons': ['What Problem does it attempt to Solve?', 'Selectively Retaining Information', 'Speeding Up Computations', 'Exploring the Mamba Block', 'Jamba - Mixing Mamba with Transformers']}}"
Generative AI - A Way of Life - Free Course,"This course is a transformative journey tailored for beginners and delves into AI-powered text and image generation using leading tools like ChatGPT, Microsoft Copilot, and DALL·E3. Learn practical applications across industries, ethical considerations, and best practices. Whether you're a content creator, business innovator, or AI enthusiast, gain the expertise to harness Generative AI's full potential and drive innovation in your field.","{'1': {'title': 'Introduction to Generative AI', 'lessons': ['Fundamentals of Generative AI', 'What is Generative AI?', 'How does Generative AI work?', 'Exploring the Potential of Generative AI', 'GenAI Pinnacle Program', 'Hands On: Let’s get generating!']}, '2': {'title': 'Text Generation Using Generative AI', 'lessons': ['An Overview of Text Generation', 'What is ChatGPT?', 'Working with ChatGPT', 'Working with ChatGPT Plus', 'Build a Custom GPT', 'Working with Microsoft Copilot', 'Working with Google Gemini', 'Gen AI Pinnacle Ad', 'Learning the Art of Prompting', 'Creating a Chatbot', 'Ethics and Best Practices']}, '3': {'title': 'Image Generation Using Generative AI', 'lessons': ['Introduction to Image Generation', 'Exploring the Potential of Image Generation', 'Working with free image generation tools', 'Working with Clipdrop', 'Working with Bing Image Creator', 'Working with Firefly', 'Working with Paid Image Generative Tools', 'Working with paid image generative tools DreamStudio', 'Working with DALLE-2', 'Working with Midjourney', 'Gen AI Pinnacle Ad', 'Prompting your Way to Art', 'Accomplishing Tasks with Image Generation', 'E for Ethics and Efficiency']}}"
Building LLM Applications using Prompt Engineering - Free Course,"This course will provide you with a hands-on understanding of building LLM applications and mastering prompt engineering techniques. By the end of the course, you will be proficient in implementing and fine-tuning these techniques to enhance generative AI model performance. You'll learn to apply various prompting methods and build chatbots on enterprise data, equipping you with the skills to improve conversational AI systems in real-world projects.
Who Should Enroll:
Professionals: Individuals looking to deepen their knowledge and apply advanced LLM and prompt engineering techniques to solve complex problems across various domains.
Aspiring Students: Individuals looking to deepen their knowledge and apply advanced LLM and prompt engineering techniques to solve complex problems across various domains.","{'1': {'title': 'How to build diffferent LLM AppIications?', 'lessons': ['Introduction to Building Different LLM applications', 'Prompt Engineering', 'Retrieval Augmented Generation', 'Finetuning LLMs', 'Training LLMs from Scratch', 'Quiz']}, '2': {'title': 'Getting Started with Prompt Engineering', 'lessons': ['Introduction to Prompt Engineering', 'Set up your machine for Prompt Engineering', 'Prompt Engineering with ChatGPT API', 'Enabling Conversation with ChatGPT API', 'Quiz']}, '3': {'title': 'Understanding Different Prompt Engineering Techniques', 'lessons': ['Introduction to Understanding Different Prompt Engineering Techniques', 'Few Shot Prompting', 'One Shot Prompting', 'Zero Shot Prompting', 'Quiz', 'Assignment']}}"
Building Your First Computer Vision Model - Free Course,"This course will help you gain a deep understanding of Computer Vision and build advanced CV models using the PyTorch framework. With a carefully curated list of resources and exercises, this course is your guide to becoming a Computer Vision expert. Master the techniques to build convolutional neural networks, and classify images.
Who Should Enroll:
Professionals: Individuals looking to expand their skill set and leverage CV across different industries.
Aspiring Students: For those setting out on their journey to master image data analysis and leave a mark in the tech world.","{'1': {'title': 'Introduction to Computer Vision', 'lessons': ['Pixel Perfect - Decoding Images', 'Understanding a CNN - Convolutional Layer', 'Hands on - Image Processing Techniques', 'Understanding a CNN - Striding and Pooling', 'Understanding a CNN - Pooling Layer', 'Understanding AlexNet and Building a CNN Model', 'Quiz']}}"
Bagging and Boosting ML Algorithms - Free Course,"This course will provide you with a hands-on understanding of Bagging and Boosting techniques in machine learning. By the end of the course, you will be proficient in implementing and tuning these ensemble methods to enhance model performance. You'll learn to apply algorithms like Random Forest, AdaBoost, and Gradient Boosting to a real-world dataset, equipping you with the skills to improve predictive accuracy and robustness in your projects.

Who Should Enroll:
Professionals: Individuals looking to deepen their knowledge and apply advanced machine learning techniques like Bagging and Boosting to solve complex problems across various domains
Aspiring Students: Individuals looking to deepen their knowledge and apply advanced ML techniques to bring value to businesses","{'1': {'title': 'Bagging', 'lessons': ['Resources to be used in this course', 'Problem Statement', 'Understanding Ensemble Learning', 'Introducing Bagging Algorithms', 'Hands-on to Bagging Meta Estimator', 'Introduction to Random Forest', 'Understanding Out-Of-Bag Score', 'Random Forest VS Classical Bagging VS Decision Tree', 'Project']}, '2': {'title': 'Boosting', 'lessons': ['Introduction to Boosting', 'AdaBoost Step-by-Step Explanation', 'Hands-on - AdaBoost', 'Gradient Boosting Machines (GBM)', 'Hands-on Gradient Boost', 'Other Algo (XGBoost, LightBoost. CatBoost)', 'Project: Anova Insurance']}}"
